Project ID,Project Name,Branch,Region,Start Date,Status,Issue Title,Severity,Description,Implication,Cost Impact,Management Comments 1,Management Comments 2,Recommendation,Branch Manager,Operations Manager,Supervisor
126604,Isiolo Road,N/A,N/A,2025-02-01,active,Stock verification,medium,"A Physical stock count was done on 02 February 2025 to determine if stock balances, i.e. raw materials and finished goods, agreed with the balances in the SAP system and to determine if stock management controls were working effectively.
The audit findings were as follows:
Bread stock had a variance of -300 Loaves out of which 224 were raised as deduction and leading to a pending variance of -76 loaves
Polybags had a variance of -2021 pieces
Yeast had a variance of +0.46 sachets
White Flour had a variance of +23.15kgs
Brown flour was +0.27Kgs.
Utto had a variance of +0.234",Material variances noted in in raw materials and finished goods indicate that stock controls in place are not working effectivelySignificant polybags variations imply that the branch is not recording all the damaged polybags sent for approval.,None,,,"Branch management is recommended to ensure proper recording of polybags damages to reduce variations noted.
Branch is also recommended to follow up with KAF to ensure machines are regularly maintained to reduces instances of breakdowns.",N/A,N/A,N/A
126604,Isiolo Road,N/A,N/A,2025-02-01,active,Crates movement,medium,"A physical verification crates at the Isiolo branch was done on 3rd February 2025, to determine if the crates’ stock balances were well controlled given that the crates were loaded to customers daily.It was noted that all the crates were accounted for, however there were significant route balances especially Mini shops as detailed below.

Description
Quantity


Opening balance
1018


Loading
1980


Physical
1790


Branch total crates
4788


Less: Donholm crates
-15


Expected
4773


Total crates as per SAP
4773


Variance
0",The route balances of crates in the mini shop routes implied lapses in crate movement controls which puts the branch at risk of losing the pending crate balances in the routes.,0.0,,,Review movement of crates in the system record versus book record and rectify the variances noted.Minimize route crate balances as per Company policy,N/A,N/A,N/A
126604,Isiolo Road,N/A,N/A,2025-02-01,active,Bread weight Check,high,"Weight check for bread Produced and packed in the branch was done to ensure that the bread sent to the market met the KEBS Standard weight of 200g ,400g, 600g ,800g ,1.5 kg.From the audit sample it was noted that there were significant underweights across all the Varieties as seen:400 g CTW had 72%600CTW/BT had 65% 800 CTW had 87%200g Minibread had 100% 400 g S/N had 11%400 Grande 95%The table below is the summary of the findings.












Variety
No. of samples
Overweight
Correct weight
Underweight
%Overweight
% correct weight
% Underweight


400g CTW
75
2
19
54
3%
25%
72%


600CTW/Butter
75
0
26
49
0%
35%
65%


800 CTW
75
2
8
65
3%
11%
87%


200g Minibread
34
0
0
34
0%
0%
100%


White Bread 400 S/N
75
1
66
8
1%
88%
11%


400 Long
65
1
2
62
2%
3%
95%",Violation of weights and Measures laws by supplying Underweight bread to the market exposes the company to regulatory and legal risks. This can lead to the attraction of potential penalties for non-compliance.Underweight bread also can affect brand reputation and can lead to loss of customers.,0.0,,,Frequent spot checks on weight to ensure bread producedand sent to the market are of correct weights.Regular servicing of bakery machines to optimizeperformance.,N/A,N/A,N/A
126604,Isiolo Road,N/A,N/A,2025-02-01,active,Bread Damages analysis,medium,"A review of bread damages for a period of 27 days from 6 January 2025 to 1 February 2025 was done with the aim of determining if production and Market Damages were within the allowable threshold of 0.2% and 0.5% respectively.
It was noted that the production bread damages were at 0.25% of total production, which was above the set limit of 0.2% with a cost Implication of -22,161.80 while market damages were at 0.46% of total sales which was within the allowable threshold.
Below is a summary of the findings:

Production damages
 



Details
Quantity/Value


Total Production damages= A
2,125.00


Total Production = B
836,294.50


Prod. Damages % C=(A/B) %
0.25%


KPI =D
0.20%


Difference E=D-C
-0.05%


Cost Implication F=(E*B) *53
-22,161.80


Market Damages



Details
Quantity/Value


Total Market damages= A
3,163.00


Total Sales = B
683,696.00


Market. Damages % C=(A/B) %
0.46%","The average production damages exceeded the KPI target by 0.05%, indicating a higher-than-desired level of waste. The cost implication suggests a loss of KES 22,161.80 due to excess damages.
The market damages were within the allowable threshold.",-22161.8,,,To schedule consistent bakery machines are Maintenance to prevent or minimize cases of breakdowns that result in production damages.,N/A,N/A,N/A
126604,Isiolo Road,N/A,N/A,2025-02-01,active,Production efficiency,medium,"A review of production efficiency was performed to assess whether the branch utilized its production workers effectively in line with the established standards of 4.3 bags per production worker.It was noted that production efficiency stood at 4.27 bags per production worker which was below the expected set standard of 4.3 bags per production worker. The results were as detailed below.Table 7:Production Efficiency.

Production Efficiency
Number


Details
Totals


KPI =A
4.3


Production workers Hired =B
1024


Expected production: C=A*B
4,403.20


Actual Production =D
4,373.00


Actual production efficiency achieved E=D/B
              4.27


Production workers who were supposed to be hired F=D/A
1017


Extra Production Workers hired G=B-F
7.00


Cost Incurred for not achieving target (1,086.6*7)
       7,606.2","The branch hired 7 extra workers with an extra cost of Kshs.7,606.2.",7606.2,,,The branch should ensure workers are hired as per productions to minimize extra costs for the company.,N/A,N/A,N/A
126604,Isiolo Road,N/A,N/A,2025-02-01,active,Packing efficiency,medium,"Packing Efficiency for the period 6 January 2025 to 1 February 2025 was conducted with the aim of ensuring packing workers were achieving their allocated KPI of 97 Crates per packer.It was noted that packing efficiency was at 85.16 crates which was below the standard KPI, the company hired more 648 workers with an extra cost of Kshs.72,048.Table 8: Packing Efficiency.

Details
Totals


KPI =A
97


Loaves Produced
836,316.00


PD, Oven Damages & Deductions & System FOC (06.01.2025-01.02.2025)
6,845.50


Loaves Produced less PD, Oven Damages & Deductions &FOC (06.01.2025-01.02.2025)
829,470.50


Add: 05.01.25 3 shift Loaves
10,557.5


Less: 01.02 .253 shift Loaves
12,242.5


Total Loaves to be Packed(B)
827,785.50


Packers Hired (C) (01-21.10.24)
648


Actual Packing Efficiency achieved D=(B/C/)15
85.16


Packers who were supposed to be hired E=(B/A)/15
569


Extra (or Less) Packers hired F=C-E
79


Cost Implication (912*79)
72,048","Workers were underutilized leading to increased cost of Kshs.72,048 without a corresponding increase in productivity.",72048.0,,,The branch should follow up with Maintenance department to ensure slicing machine maintenance is done to reduce downtimes that affects efficiency.,N/A,N/A,N/A
126604,Isiolo Road,N/A,N/A,2025-02-01,active,Mixing chart analysis,medium,"An analysis of both mixing chart and mixing chart summaries was done for the period 6 January 2025 to 1 February 2025 to determine if the raw materials usage were as per the set BOM and if the set standards were achieved for production.The analysis revealed that:ü  Utto consumption to bags was at 100%.ü  Average yield was 191.25 loaves per bag which was within the set standard.ü  Average production was 161.96 bags which represented 68.05% of the target of 238 bags set.ü  There were 5,574 cases of remixes noted for the reviewed period.The table below illustrates the summary of the findings:Table 9: Mixing Chart Analysis.

Particulars
Number


Utto
4,373


Yeast 125g
4,373


Production in bags
4,373


Total cash flow loaves
836,316


Average yield
191.25


Average Production /Average daily production in bags
161.96


Average production Target in bags
238.00


Production target achievement (%)
68.05%


Utto consumption to bags produced
1:1


No of Remixes
5,574.00","Branch production capacity was underutilized, Shortfall optimization of 31.95%.
The high number of remixes reduces the Quality of bread and can lead to bread shortfalls.",None,,,None,N/A,N/A,N/A
126604,Isiolo Road,N/A,N/A,2025-02-01,active,Debtors analysis,medium,"A review of the debtors’ balances as of 4February 2025, was conducted to ascertain if there were instances of outstanding balances at the branch that could lead to bad debts if left unchecked.It was noted that there were 4 blacklisted debtors, there were several customers whose debts were to be cleared from security as detailed below in Appendix 2.",Additional recovery costs to the company for cases of long outstanding debts that are left unchecked.,None,,,The Sales team to follow up for clearance of payments for sales done.,N/A,N/A,N/A
126604,Isiolo Road,N/A,N/A,2025-02-01,active,Vehicles fuel consumption,medium,"Vehicles fuel consumption for the period 6 January 2025 to 31 January 2025 was done to determine if fuel consumption was within the standard rates.It was noted that fuel consumption was within the standards rates, however there were vehicles for routes Ngong, Kileleshwa and kahawa which had consumed more fuel and others had faulty mileage KCJ191X-Kahawa route, KBS234K-Embakasi route hence it was difficult to compute consumptionThe summary of the audit Finding is illustrated below in Appendix 1.","The fuel consumption was within the standard rates; however, the few vehicles consumed more fuel but were minimal.",0.0,,,The branch management should liaise with KAF to keep track of all records of fuel for shared vehicles and indicate comments in their records to reflect the same.,N/A,N/A,N/A
126605,Langata,N/A,N/A,2025-02-01,active,Physical Stock Take,medium,"Findings.

 A stock take of raw materials and finished product was conducted on 1st February 2025 to assess whether all stock items’ issues, receipts and usage were well controlled.
The items with variances were as stated below:

Polybags had a variance of +222 Pieces


Finished product had a variance of -49 Loaves.


Yeast  had a variance of -1.061


Wheat Bran -9.89 Kgs


Utto had a variance of -4.12 Ltrs /Kgs



The other raw materials had negligible variances as illustrated:









Item Description
Stock as per SAP
Physical Stock
Variance


Brown bread ingredients 
3
3.00
0.000


White ingredients 9Kgs
847.061
847.00
-0.061


White Flour
44,752.95
44,750.00
-2.946


Brown Flour
50
50.00
0.000


Wheat Bran
44
34.11
-9.890


Yeast - 125gms
887.061
886.00
-1.061


Vegetable Oil (Utto) 
105.12
101.00
-4.120


Finished Product
15,054
15,005
-49


Polybags
158,127
158,349
+222","The variances noted imply weakening of stock controls with regards to wheat bran, Utto and yeast materials’ movement.",None,,,The branch management to implement stringent measures on raw materials’ movement to alleviate the variances.,N/A,N/A,N/A
126605,Langata,N/A,N/A,2025-02-01,active,Bread/Dough Weight,high,"Findings.
We conducted a spot check on the weights of packed bread on 3rd February 2025 to verify if the set bread weight standards were being adhered to.

 Underweights were noted in 400g CTW Unit 2-(27/43), 600g CTw Unit 2-(29/54), 6BT Unit 1(12/60) and 8BT Unit 1 (14/50)

There were Over-weights noted in Unit 1 600g BT(4/60) and Unit 2 600g CTW(11/54) as detailed below:


Variety
Sample size
C/Wt
Ov/Wt
Ov/Wt%
U/Wt
U/ Wt %
Av/ Wt


 4CTW (Unit  2)
43
16
0
0%
27
63%
389.26


 6CTW (Unit 2)
54
14
11
20%
29
54%
587.02


 6BT (Unit 1)
60
44
4
7%
12
20%
595.87


 8BT (Unit 1)
50
34
2
4%
14
28%
792.30


800g Dough
18
9
4
22%
5
0
915.67",Presence of underweight bread signified lapses in implementation of the set dough weights and also failure to monitor production process flow.,None,,,"The branch management to increase spot checks in the production area and ensure that the workforce is trained/sensitizes on the required weight standards and weighing procedures.
Regular machine maintenance is recommended.",N/A,N/A,N/A
126605,Langata,N/A,N/A,2025-02-01,active,Bread Damages Analysis,medium,"Findings

An analysis was done on the bread damage levels for both production and market based deformities for the period 15th January-2nd February 2025 to detect if damage levels were within the set limits.

We noted the following:

Production damages were 0.25% of the total production which was above the set standard of 0.2% and had a cost implication of KES 10,611.60.


Market damages were 0.56% of the total sales which was above the 0.5% allowed limit and had a cost implication of KES 12,263.40.","The bread damages exceeded the set damage limits implying lapses in monitoring production flow, machine breakdowns and mishandling of bread in transit.",22875.0,,,"Enhance controls and spot checks within the production process.
Training employees on handling bread in transit to minimize market damages.
Regular oven machines maintenance",N/A,N/A,N/A
126605,Langata,N/A,N/A,2025-02-01,active,Packing Efficiency,medium,"Findings.
An assessment was conducted on the utilization of packers in the slicing section to determine if optimality was attained based on the set Company standard of 97 crates per packer.
We noted that, for the period 15th January-2nd February 2025, the packing efficiency stood at 94.04 crates which was below the standard set as detailed below:


Details
Totals


KPI =A
97


Loaves Produced
400,436.80


PD,Oven Damages & Deductions & System FOC(15th Jan-2nd Feb 2025)
4,807.00


Loaves Produced less PD,Oven Damages & Deductions &FOC ((1st-23rd Jan)
395,629.80


Add: 14.01.2025 3rd shift Loaves
8,556.00


Less: 02.02.25 3rd shift Loaves
10,648.25


Total Loaves to be Packed(B)
393,537.55


Packers Hired (C) ((15th Jan-2nd Feb 2025)
279


Actual Packing Efficiency achieved D=(B/C/)15
94.04


Packers who were supposed to be hired E=(B/A)/15
270


Extra (or Less) Packers hired F=C-E
9


Cost Implication (912*9)
8,208","The branch did not attain the set slicing efficiency implying extra cost of KES 8,208 incurred in paying excess 9 workers.",8208.0,,,The branch management to maintain optimal allocation of packers based on the set standards.,N/A,N/A,N/A
126605,Langata,N/A,N/A,2025-02-01,active,Production Efficiency,medium,"Findings.
We reviewed the branch’s production efficiency rate versus the Company’s set standards for the period 15th January to 2nd February 2025 to ascertain if there were any major variations.


 We noted that the average production efficiency was at 4.07 bags per production worker which was below the set standard of 4.3.
The results were as detailed below:

Production Efficiency

Details
Totals


KPI =A
4.3


Production workers Hired =B
483


Expected production: C=A*B
2,076.90


Actual Production =D
1,967.00


Actual production efficiency achieved E=D/B
             4.07


Production workers who were supposed to be hired F=D/A
457


Extra Production Workers hired G=B-F
26


Cost Incurred for not achieving target (1,086.6*26)
  27,771.47","The branch did not attain the set target implying extra cost of KES 27,771.47 for over-allocation of 26 extra workers to the production section.",27771.0,,,Branch management to introduce controls to ensure optimal allocation of employees to the production section.,N/A,N/A,N/A
